,freight_value,price,payment_value,payment_installments,payment_sequential
108568,15.36,72.4,87.76,2,1
18159,14.1,39.99,54.09,5,1
29642,7.39,35.0,42.39,2,1
45921,22.97,55.0,311.88,1,1
67269,18.78,129.0,147.78,1,1
92747,7.78,39.99,47.77,2,1
38519,10.37,22.9,111.25,1,1
102287,14.1,17.99,32.09,1,1
76070,15.66,133.4,292.22,1,1
45584,23.19,54.99,78.18,3,1
48627,47.79,42.0,89.79,1,1
42953,38.7,99.99,230.52,8,1
79873,9.41,84.99,94.4,2,1
107369,22.67,47.9,70.57,1,1
62281,10.96,24.9,127.58,1,1
106933,11.03,59.9,141.86,1,1
76495,17.06,88.9,105.96,1,1
72646,18.92,120.0,138.92,1,1
72415,17.19,330.0,347.19,1,1
6519,22.93,39.9,62.83,5,1
75941,13.58,79.9,93.48,1,1
95111,7.39,25.77,33.16,1,1
84430,13.37,49.9,63.27,1,1
105953,25.63,26.7,52.33,3,1
35424,18.02,109.9,18.29,1,4
32020,20.17,159.0,358.34,6,1
24751,17.7,64.89,82.59,1,1
48619,17.6,21.9,39.5,1,1
103735,14.52,24.99,39.51,3,1
39622,36.9,167.7,306.3,8,1
105620,11.42,115.0,126.42,2,1
69465,1.41,124.0,231.88,7,1
44256,20.08,85.0,105.08,2,1
1862,16.11,128.8,144.91,1,1
64677,7.78,49.0,103.56,4,1
41859,38.04,69.9,107.94,3,1
85777,13.44,59.9,146.68,1,1
50369,17.95,99.99,117.94,10,1
98597,19.04,12.0,93.12,1,1
74007,7.96,110.32,236.56,4,1
8027,18.23,10.9,29.13,1,1
77460,7.78,14.99,68.31,3,1
57345,13.5,22.32,24.27,2,2
76346,8.82,15.9,49.44,1,1
81831,15.64,108.0,123.64,1,1
43212,15.23,25.99,116.04,1,1
102597,15.98,199.0,214.98,7,1
81282,7.83,82.0,89.83,5,1
69919,7.71,29.9,37.61,1,1
3912,27.53,140.0,167.53,1,1
69895,7.47,29.9,37.37,1,1
97188,0.15,95.9,1157.28,10,1
14005,22.42,69.99,92.41,1,1
67595,19.8,274.9,294.7,1,1
89919,16.54,49.9,132.88,1,1
48518,16.88,160.0,176.88,1,1
1370,34.42,149.96,184.38,3,1
58689,15.1,49.9,65.0,3,1
16183,20.9,570.0,590.9,6,1
106317,18.23,49.0,67.23,1,1
105488,22.53,86.0,108.53,1,1
67502,13.32,93.9,107.22,10,1
23873,15.25,21.9,74.3,1,1
72396,19.55,325.0,344.55,6,1
96911,8.27,43.9,52.17,1,1
29275,26.89,39.2,66.09,6,1
60499,19.32,39.9,59.22,1,1
43607,18.68,156.99,175.67,1,1
55440,27.59,149.9,354.98,1,1
108798,23.3,52.82,76.12,3,1
77405,16.37,57.0,144.64,4,1
73457,21.16,326.16,347.32,3,1
53018,22.29,199.0,221.29,1,1
58076,18.33,108.0,126.33,1,1
93203,16.79,21.99,38.78,1,1
54729,17.06,19.9,36.96,1,1
87444,20.07,35.7,583.82,1,1
79092,15.37,38.5,2.67,1,1
110714,19.44,35.0,54.44,1,1
100904,11.85,22.0,135.4,1,1
342,35.14,139.94,175.08,3,1
3548,16.35,150.0,166.35,1,1
47230,9.71,99.99,109.7,1,1
107869,7.54,39.9,47.44,4,1
111978,17.92,858.9,876.82,10,1
22697,15.17,59.9,150.14,3,1
98612,23.0,60.0,415.0,4,1
101906,12.97,120.0,265.94,3,1
63515,15.1,9.0,24.1,1,1
36665,23.35,109.9,133.25,1,1
46462,7.78,44.9,52.68,1,1
15974,27.77,148.0,175.77,2,1
29864,19.85,240.0,259.85,10,1
36275,14.07,149.9,163.97,1,1
100215,7.45,32.9,40.35,1,1
110417,15.11,29.9,45.01,3,1
100725,17.92,95.0,112.92,1,1
53078,67.96,149.0,216.96,1,1
107832,17.63,29.99,20.0,1,2
100285,7.78,11.99,19.77,1,1
29499,17.13,59.9,77.03,3,1
52317,11.62,49.9,61.52,1,1
19185,13.78,59.99,73.77,2,1
77012,20.18,141.61,161.79,3,1
59988,12.69,30.0,170.76,2,1
23945,12.23,59.99,72.22,7,1
41489,40.5,720.0,1861.26,10,1
93006,18.23,24.99,43.22,1,1
75354,17.8,370.0,387.8,8,1
78635,8.44,145.9,154.34,5,1
77705,15.1,38.99,54.09,1,1
11704,23.87,189.9,213.77,3,1
83142,23.38,113.85,137.23,2,1
25882,15.27,136.76,152.03,3,1
58518,11.89,175.9,373.11,1,1
22676,21.69,149.9,171.59,3,1
15576,16.14,199.0,215.14,1,1
91879,20.03,139.0,159.03,1,1
76287,38.69,253.57,292.26,10,1
2323,25.63,14.9,40.53,1,1
107234,11.92,60.0,71.92,1,1
5960,19.98,69.9,89.88,1,1
16481,18.09,119.99,138.08,5,1
64696,11.85,49.0,60.85,1,1
30890,17.8,79.08,96.88,4,1
110058,17.19,133.9,151.09,3,1
88486,14.52,39.9,54.42,1,1
29451,21.25,58.9,80.15,4,1
52694,9.37,69.9,79.27,3,1
44642,23.92,149.9,869.1,1,1
96987,314.4,1045.0,1359.4,6,1
112155,37.11,1100.0,1137.11,6,1
36971,12.79,44.9,57.69,3,1
36588,16.89,179.9,590.37,2,1
68188,26.44,279.0,305.44,3,1
71157,27.13,84.99,112.12,11,1
70025,22.14,29.9,49.73,1,2
66476,0.0,99.9,99.9,1,1
86392,44.5,99.99,144.49,1,1
73825,7.83,137.9,145.73,1,1
1983,24.35,99.9,124.25,8,2
78502,13.2,89.0,39.4,1,4
64496,7.78,55.0,62.78,4,1
79979,8.72,56.99,65.71,1,1
5985,12.43,69.9,164.66,6,1
57098,8.93,24.99,33.92,1,1
11407,8.72,9.9,18.62,1,1
2391,17.38,159.0,176.38,3,1
87913,26.61,39.9,66.51,1,1
49863,20.03,119.99,140.02,2,1
5548,12.08,10.99,49.17,1,1
17954,14.52,40.5,110.04,1,1
104224,149.01,980.9,1129.91,3,1
65279,18.44,49.0,67.44,5,1
88481,14.88,328.0,342.88,6,1
33693,47.75,99.9,136.73,1,2
2783,28.17,299.0,62.7,1,3
10214,18.0,46.99,64.99,1,1
103076,9.27,33.0,42.27,1,1
82993,15.1,25.0,19.93,1,3
102084,35.47,239.0,274.47,2,1
66048,19.07,759.99,779.06,8,1
95320,14.52,49.0,63.52,1,1
111993,35.45,579.0,614.45,8,1
75262,19.7,349.9,369.6,1,1
32204,23.28,99.9,123.18,5,1
26260,7.39,12.9,20.29,2,1
36937,15.1,44.9,60.0,6,1
32939,12.48,49.9,62.38,2,1
37634,13.66,75.78,13.64,1,3
98253,22.12,26.9,49.02,1,1
71738,19.38,66.99,86.37,3,1
4851,15.56,44.55,60.11,6,1
3935,35.67,38.4,148.14,1,1
110537,18.16,409.0,427.16,3,1
82514,18.33,108.0,126.33,1,1
33141,11.31,40.99,52.3,2,1
103604,13.93,130.0,143.93,3,1
98883,12.79,16.5,29.29,2,1
20503,17.88,65.0,82.88,1,1
59728,20.93,23.48,192.9,1,1
98665,14.1,30.0,44.1,1,1
59401,11.85,49.95,61.8,1,1
26882,16.42,94.6,111.02,1,1
43886,25.54,22.49,200.0,1,3
97735,11.85,45.49,57.34,1,1
22589,16.44,115.0,131.44,1,1
2436,47.09,93.0,140.09,2,1
41985,16.61,139.9,106.51,3,1
9900,19.69,63.99,83.68,2,1
80513,15.23,13.99,29.22,1,1
106936,7.78,59.9,67.68,3,1
50045,7.39,19.99,27.38,2,1
59971,15.1,41.56,56.66,1,1
95578,14.1,49.0,63.1,1,1
36675,12.47,109.9,244.74,2,1
44074,12.78,62.7,75.48,4,1
36332,10.08,149.9,425.27,6,1
21665,14.93,109.0,371.79,7,1
37951,18.45,49.95,68.4,3,1
10366,23.5,99.99,123.49,2,1
112293,18.45,49.9,68.35,2,1
52954,7.86,86.8,94.66,2,1
43022,20.71,89.99,110.7,2,1
87391,19.68,69.99,179.34,1,1
13800,14.5,58.9,73.4,1,1
62291,17.92,46.9,64.82,1,1
98939,14.1,13.65,27.75,1,1
55530,19.59,149.9,169.49,3,1
109982,8.95,27.99,36.94,1,1
53033,20.63,199.0,219.63,9,1
46286,9.34,39.9,49.24,4,1
7266,10.96,45.9,56.86,4,1
69985,7.71,29.9,37.61,1,1
270,28.0,90.99,237.98,1,1
89799,15.24,15.99,136.91,6,1
74741,18.16,129.9,148.06,3,1
69640,37.52,119.0,156.52,3,1
31060,12.19,14.8,198.11,1,1
104577,13.69,29.9,261.54,1,1
39077,12.9,80.0,92.9,9,1
21034,23.88,104.9,128.78,1,1
53004,28.34,199.0,227.34,2,1
31939,12.87,29.9,42.77,1,1
34089,10.29,86.9,291.57,8,1
73938,8.03,110.32,118.35,1,1
70066,18.31,29.9,48.21,1,1
54405,13.38,269.0,282.38,10,1
91158,26.84,21.99,126.53,1,1
75980,24.7,62.0,171.3,8,1
60343,18.42,110.0,128.42,1,1
81152,14.59,119.8,134.39,1,1
2104,65.12,249.9,307.09,10,1
69941,7.47,29.9,37.37,1,1
3469,43.95,250.0,293.95,5,1
21835,13.79,109.95,123.74,1,1
32909,23.57,82.5,106.07,10,1
12898,15.72,120.49,136.21,2,1
45776,16.02,55.9,71.92,1,1
83743,30.53,99.0,259.06,1,1
22373,11.85,9.0,1.47,1,11
62626,17.02,723.74,50.0,1,12
96561,17.06,39.9,53.75,1,2
37255,13.72,99.9,113.62,1,1
25066,78.84,79.9,2075.48,1,1
62037,10.96,16.9,27.86,1,1
98926,8.29,23.7,31.99,1,1
41082,38.43,125.9,164.33,1,1
94944,11.85,17.99,29.84,1,1
12321,12.48,15.9,28.38,1,1
103487,15.1,19.99,35.09,1,1
86476,46.31,259.0,305.31,8,1
23661,17.99,79.9,97.89,1,1
67376,14.56,219.9,234.46,1,1
40861,22.28,49.9,144.36,1,1
54439,17.6,32.99,101.18,1,1
25462,23.21,388.0,411.21,7,1
896,28.96,79.99,708.28,10,1
83160,23.38,113.85,137.23,2,1
64332,7.78,29.0,36.78,2,1
40906,22.99,57.9,80.89,4,1
56710,11.85,34.99,46.84,4,1
69354,16.13,178.0,194.13,8,1
69369,23.03,187.9,210.93,5,1
72245,12.96,53.79,66.75,2,1
5488,45.35,70.0,230.7,3,1
41653,16.11,49.0,65.11,1,1
89500,13.78,109.0,122.78,1,1
27008,15.23,28.99,44.22,1,1
50280,15.65,24.6,40.25,1,1
54634,67.03,105.0,172.03,1,1
3614,16.11,38.4,54.51,1,1
91810,8.72,27.93,36.65,1,1
13364,15.1,16.9,32.0,1,1
7149,22.28,42.99,65.27,1,1
27090,15.1,49.9,65.0,1,1
21004,13.52,72.0,85.52,1,1
77435,7.39,13.99,42.76,1,1
89307,17.8,79.0,96.8,1,1
84997,47.4,49.9,12.6,1,2
8693,15.63,59.99,45.0,2,1
5779,0.0,69.9,69.9,1,1
50361,21.58,89.8,111.38,5,1
106132,20.8,29.9,50.7,5,1
84409,20.99,49.91,70.9,1,1
54363,8.85,99.0,107.85,1,1
5562,10.37,12.99,41.53,2,1
28049,18.57,98.0,116.57,2,1
99215,7.78,14.6,22.38,1,1
51722,19.04,133.9,152.94,1,1
52843,16.88,304.9,321.78,8,1
6843,14.21,68.9,83.11,1,1
11256,16.71,143.8,160.51,1,1
18926,38.28,104.0,426.84,3,1
49898,31.58,378.98,410.56,10,1
67218,17.75,120.0,137.75,3,1
75570,7.39,19.9,54.58,1,1
45470,16.6,34.9,51.5,1,1
56530,16.01,180.0,196.01,1,1
59591,33.37,709.9,743.27,1,1
11269,13.08,75.0,88.08,1,1
93641,10.47,299.9,148.89,1,2
19936,16.32,47.02,126.68,4,1
33778,57.65,140.0,197.65,1,1
31494,13.37,34.9,48.27,2,1
81793,15.07,127.99,143.06,1,1
108198,12.98,45.0,57.98,5,1
111499,15.72,139.0,154.72,7,1
90553,8.67,129.9,138.57,8,1
99812,15.79,13.0,28.79,1,1
46549,5.49,49.9,130.36,1,1
27570,15.1,20.7,35.8,1,1
107266,0.45,60.0,158.28,1,2
103822,23.56,57.9,81.46,1,1
6091,13.08,75.0,264.24,3,1
105105,8.29,14.9,23.19,1,1
99530,7.78,13.65,21.43,1,1
11643,45.4,134.57,179.97,6,1
75548,7.39,24.9,64.58,1,1
71040,15.18,59.99,75.17,2,1
93602,15.23,17.9,8.13,1,1
31067,7.39,14.8,66.57,1,1
9410,14.11,22.9,185.05,1,1
19765,12.69,22.5,35.19,1,1
23186,16.65,584.9,601.55,3,1
102901,15.1,21.5,109.8,1,1
16688,6.67,99.0,317.0,2,1
16962,15.53,112.0,127.53,1,1
68735,15.31,80.0,95.31,6,1
45723,14.65,43.8,128.0,1,1
79574,27.08,27.9,14.98,1,3
57330,17.09,22.32,39.41,2,1
89809,7.39,15.99,23.38,1,1
61751,17.99,319.0,336.99,5,1
33319,16.9,89.99,320.67,1,1
89469,54.41,79.0,133.41,5,1
46290,19.32,49.9,69.22,1,1
86528,11.37,50.0,61.37,1,1
60290,18.26,144.95,979.26,1,1
29901,17.67,59.9,155.14,2,1
7095,9.34,12.99,89.32,3,1
94461,14.52,10.99,25.51,1,1
39411,32.36,15.0,88.3,1,1
28624,16.21,63.9,80.11,8,1
24804,27.35,149.9,177.25,4,1
54446,18.23,19.99,38.22,1,1
83342,86.34,160.0,620.68,5,1
33425,17.3,149.9,150.0,1,1
44779,17.7,149.9,167.6,4,1
102628,28.01,1680.0,13664.08,1,1
62779,15.3,79.0,188.6,1,1
102147,62.69,119.0,181.69,10,1
71960,27.49,61.99,89.48,3,1
98021,7.78,35.0,42.78,1,1
94418,11.85,19.9,31.75,1,1
10654,28.84,92.96,121.8,10,1
61369,18.37,248.91,518.72,5,1
63563,15.1,40.0,275.5,1,1
30223,9.27,19.9,29.17,2,1
63334,16.79,32.5,49.29,4,1
64220,15.65,78.0,93.65,4,1
40330,18.23,26.0,44.23,1,1
37385,12.68,139.9,305.16,10,1
78395,16.11,38.9,55.01,5,1
94969,10.96,13.98,24.94,2,1
5581,9.55,104.9,114.45,2,1
18775,22.9,26.0,48.9,1,1
84613,17.67,59.9,77.57,1,1
6767,12.19,140.9,151.11,1,2
71563,7.87,24.0,127.48,6,1
88595,16.95,289.99,306.94,3,1
48168,19.32,12.5,20.0,1,1
101034,13.82,34.9,97.44,3,1
35155,16.26,89.9,28.84,1,2
37863,15.1,39.99,55.09,5,1
9509,18.03,65.0,16.15,1,5
13089,15.1,50.0,65.1,1,1
41130,19.75,80.0,99.75,4,1
56222,43.36,189.59,931.8,10,1
19886,16.99,145.9,162.89,2,1
44171,16.92,184.9,201.82,3,1
20876,15.51,252.0,267.51,6,1
106045,16.18,59.9,76.08,3,1
80329,16.36,85.9,102.26,10,1
37105,15.1,24.9,40.0,2,1
33293,43.07,40.5,83.57,8,1
102322,15.88,159.99,175.87,3,1
21608,16.11,29.5,273.66,1,1
92831,16.79,23.99,40.78,1,1
59177,16.96,74.9,91.86,1,1
86899,15.34,82.9,98.24,4,1
43133,25.15,119.99,145.14,1,1
10424,25.04,103.97,258.02,1,1
72140,12.89,199.0,211.89,1,1
72676,26.78,100.0,126.78,5,1
2989,16.11,38.4,163.53,1,1
77152,10.11,184.99,195.1,1,1
28827,14.79,69.0,83.79,1,1
73405,8.82,29.9,38.72,3,1
109212,30.77,99.0,100.0,1,2
4306,10.96,45.9,56.86,1,1
28416,16.6,29.75,278.1,1,1
616,36.85,169.99,206.84,10,1
8619,14.1,49.9,64.0,1,1
47694,17.21,66.99,95.17,9,1
40898,16.63,54.9,71.53,2,1
18550,25.9,87.9,113.8,3,1
52702,16.11,25.0,41.11,1,1
50656,17.74,69.99,87.73,1,1
100237,37.04,19.86,56.9,1,1
36402,17.76,79.9,222.61,3,1
52743,37.94,92.5,257.34,4,1
69544,16.75,659.99,676.74,8,1
2259,15.1,11.9,27.0,2,1
963,11.45,119.99,131.44,1,1
17679,12.01,47.99,60.0,1,1
16461,15.48,89.5,419.92,10,1
21616,16.11,29.5,182.44,1,1
6245,11.85,28.0,39.85,1,1
59837,16.11,49.0,65.11,1,1
16305,15.1,47.9,63.0,1,1
86591,26.63,78.9,105.53,2,1
3509,15.98,32.99,146.91,2,1
7251,12.93,47.9,60.83,1,1
54953,105.07,119.0,224.07,10,1
20677,13.94,229.0,242.94,1,1
13529,20.08,329.99,350.07,10,1
33601,47.81,361.98,767.84,6,1
57696,12.48,27.9,40.38,4,1
100917,16.73,48.0,287.53,5,1
72218,18.23,47.65,131.76,2,1
109455,14.1,45.6,59.7,5,1
10843,11.27,35.0,92.54,1,1
93999,15.23,35.99,51.22,5,1
102972,9.52,29.49,39.01,1,1
83293,12.94,39.95,105.78,1,1
5448,17.6,45.0,187.8,2,1
69736,23.31,105.0,128.31,2,1
17613,24.05,210.0,234.05,1,1
26750,11.98,69.9,81.88,1,1
37029,12.4,99.9,112.3,4,1
18555,42.65,87.9,130.55,1,1
98290,16.79,18.9,35.69,1,1
876,21.58,114.94,273.05,1,1
56629,7.78,18.9,26.68,1,1
29247,11.74,46.2,57.94,1,1
28649,19.82,82.9,102.72,5,1
3113,9.6,35.0,178.4,3,1
7340,12.13,29.99,42.12,4,1
46813,15.1,15.0,30.1,1,1
54939,17.6,119.0,136.6,1,1
105880,18.99,159.1,178.09,1,1
55629,20.72,149.9,1023.72,1,1
72637,18.92,120.0,138.92,1,1
99631,14.1,12.3,52.8,4,1
34417,29.51,379.0,408.51,10,1
26367,7.78,19.9,27.68,1,1
70749,15.1,23.99,39.09,1,1
101067,15.72,119.99,407.13,2,1
90169,11.91,100.79,112.7,2,1
99512,7.78,13.65,21.43,1,1
102107,50.05,216.79,266.84,6,1
39973,13.37,40.0,53.37,1,1
7600,26.07,189.0,215.07,1,1
40107,16.11,45.9,62.01,1,1
95728,11.85,25.99,37.84,1,1
97984,25.63,49.0,74.63,1,1
83007,7.78,38.9,93.36,1,1
91870,82.82,139.0,221.82,1,1
110740,16.73,67.9,84.63,1,1
39580,17.74,69.9,87.64,3,1
68407,31.86,759.9,791.76,5,1
48501,25.67,128.9,154.57,2,1
67001,12.76,179.9,50.0,1,2
20844,15.77,145.0,160.77,1,1
99922,15.24,19.9,35.14,1,1
49794,16.81,79.9,193.42,1,1
91441,7.76,79.9,87.66,1,1
7879,104.42,179.0,283.42,4,1
30877,19.5,43.98,63.48,6,1
100619,18.97,95.0,113.97,1,1
68291,15.76,144.8,160.56,8,1
5146,12.23,119.9,132.13,2,1
49344,17.48,109.9,127.38,1,1
68989,15.1,39.9,55.0,1,1
97495,32.59,599.0,631.59,1,1
61864,12.0,72.0,84.0,1,1
9573,16.22,65.49,1225.65,10,1
72885,314.02,990.0,1304.02,1,1
47751,8.88,60.0,68.88,1,1
5854,13.08,75.0,176.16,1,1
30479,11.15,49.99,61.14,3,1
41218,12.74,56.99,69.73,1,1
44157,79.39,338.5,417.89,10,1
62141,18.2,88.9,107.1,4,1
79824,15.34,84.99,100.0,1,1
72963,14.29,76.99,91.28,1,1
76139,11.43,58.0,69.43,1,1
26080,31.97,174.9,206.87,1,1
76887,13.77,189.9,203.67,2,1
11535,8.72,14.99,47.42,1,1
77477,11.77,80.99,92.76,1,1
96115,7.78,29.99,528.78,6,1
20294,12.25,149.8,62.05,6,1
69150,26.53,179.0,205.53,5,1
399,53.79,169.99,223.78,1,1
81314,18.27,55.9,74.17,4,1
57922,15.31,79.43,94.74,1,1
14657,7.6,49.0,56.6,1,1
73329,15.59,119.9,135.49,1,1
68423,17.95,599.9,617.85,10,1
72530,14.7,330.0,344.7,10,1
26500,10.5,250.0,260.5,3,1
95178,14.1,13.87,27.97,2,1
17590,7.39,16.0,23.39,1,1
72565,11.74,35.9,47.64,1,1
23288,18.23,14.5,196.38,10,1
14320,11.73,159.99,25.05,1,3
61118,9.65,99.0,617.24,24,1
53982,18.04,113.3,131.34,4,1
5137,13.65,89.87,103.52,2,1
64466,7.58,45.0,52.58,1,1
8325,16.11,49.9,132.02,1,1
54996,40.37,149.0,189.37,1,1
94722,10.94,246.62,257.56,1,1
108227,13.29,89.9,103.19,3,1
75460,15.79,49.0,55.89,1,2
110016,18.02,109.9,127.92,1,1
30318,10.96,6.0,33.92,1,1
69472,10.96,17.9,28.86,2,1
97043,18.38,39.97,175.05,4,1
57481,15.1,31.9,47.0,1,1
51795,21.71,89.9,111.61,2,1
73161,15.87,159.9,175.77,3,1
76431,15.69,84.49,100.18,1,1
58777,16.79,39.9,56.69,1,1
108422,18.81,299.98,318.79,10,1
102676,11.51,128.99,281.0,10,1
109408,15.82,54.9,70.72,1,1
93571,7.78,7.0,29.56,1,1
89828,58.9,194.9,253.8,1,1
64741,7.78,29.0,36.78,1,1
56205,16.79,23.9,162.76,2,1
18421,14.51,29.99,44.5,2,1
106179,21.02,149.99,171.01,1,1
29242,41.88,116.0,157.88,2,1
105793,8.98,234.0,242.98,5,1
12077,18.29,26.89,45.18,1,1
15618,15.1,49.9,65.0,1,1
93702,16.79,18.99,26.11,2,1
112445,13.71,29.89,43.6,1,1
65818,17.09,208.9,225.99,6,1
106988,14.17,59.9,74.07,2,1
55646,23.98,149.9,173.88,2,1
93461,15.79,24.9,40.69,4,1
8034,191.72,249.9,139.29,1,2
100364,27.98,243.0,541.97,4,1
83368,15.34,84.0,99.34,2,1
80286,15.84,56.99,72.83,1,1
88219,7.44,24.99,32.43,1,1
38528,12.69,30.7,43.39,4,1
78195,12.48,8.9,106.9,3,1
47161,15.01,179.99,195.0,3,1
86858,10.96,25.0,71.92,1,1
102998,9.94,47.49,50.0,1,2
1570,18.33,25.0,173.32,1,1
55471,18.62,149.9,337.04,1,1
81675,8.51,109.9,118.41,5,1
23608,104.23,119.9,36.27,1,3
105926,18.95,121.0,139.95,1,1
80839,16.64,269.9,286.54,1,1
108171,15.1,19.99,70.18,1,1
17978,23.15,36.0,118.3,1,1
49161,15.23,29.9,45.13,1,1
76570,9.54,278.9,288.44,10,1
9555,12.23,229.9,242.13,1,1
74506,17.14,99.9,117.04,4,1
34786,13.0,79.9,92.9,7,1
15760,35.97,119.9,155.87,1,1
104935,21.38,499.99,521.37,5,1
99447,8.72,13.65,22.37,1,1
21632,16.11,29.5,45.61,1,1
24537,19.91,134.9,154.81,1,1
5406,13.64,49.97,190.83,10,1
106113,23.07,69.9,92.97,1,1
35799,15.7,69.9,85.6,1,1
65060,17.69,59.0,76.69,3,1
88862,17.8,79.0,96.8,1,1
53727,24.23,209.99,234.22,2,1
55115,44.64,119.99,164.63,1,1
20727,24.05,159.99,184.04,1,1
73041,13.58,99.9,113.48,10,1
67615,13.84,169.0,182.84,6,1
94412,34.15,19.9,54.05,1,1
72957,17.38,376.0,393.38,10,1
85762,13.44,59.9,146.68,5,1
71362,24.94,64.99,89.93,1,1
95697,14.1,25.99,5.38,1,2
33250,7.95,29.9,37.85,3,1
108832,18.61,72.9,91.51,1,1
82884,16.85,155.0,171.85,1,1
22886,21.93,349.0,370.93,3,1
103242,12.97,90.0,102.97,1,1
31091,20.02,149.33,169.35,1,1
59631,16.79,39.58,56.37,1,1
86397,34.13,109.99,144.12,6,1
19264,16.11,49.99,66.1,1,1
50425,48.16,99.99,148.15,3,1
66582,14.54,299.99,314.53,1,1
93644,14.1,19.9,34.0,1,1
7770,15.63,59.9,75.53,7,1
88203,41.65,388.9,430.55,1,1
67377,0.0,199.0,199.0,4,1
