,customer_city,customer_state,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp,shipping_limit_date,price,freight_value,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,payment_sequential,payment_type,payment_installments,payment_value,seller_city,seller_state,product_category_name_english,product_category,product_vol_cm3,estimated_days,arrival_days,shipping_days,seller_to_carrier_status,arrival_status,estimated_delivery_rate,arrival_delivery_rate,shipping_delivery_rate
90841,curitiba,PR,2018-06-09 10:51:47,2018-06-09 11:11:08,2018-06-11 14:15:00,2018-06-15 22:22:42,2018-07-03,2,Só após receber orestante,"Foi comprado duas unidades do produto e foi entregue apenas uma. Desejaria saber se o vendedor enviará a segunda compra. Um abraço,",2018-06-16 00:00:00,2018-06-17 15:44:29,2018-06-14 11:11:08,21.5,15.23,59.0,697.0,5.0,100.0,1,credit_card,1,73.46,florianopolis,SC,stationery,Books & Stationery,2400.0,23,6,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
38989,passo fundo,RS,2018-06-02 15:26:28,2018-06-02 15:49:57,2018-06-05 08:53:00,2018-06-18 16:46:38,2018-07-19,4,,,2018-06-19 00:00:00,2018-06-20 19:03:34,2018-06-11 15:49:57,44.99,19.32,54.0,634.0,1.0,1000.0,1,credit_card,4,128.62,ibitinga,SP,bed_bath_table,Furniture,2560.0,46,16,13,OnTime/Early,OnTime/Early,Very Slow,Neutral,Fast
6329,pocos de caldas,MG,2017-01-19 14:38:27,2017-01-19 14:50:07,2017-01-20 14:12:55,2017-01-23 12:38:48,2017-02-27,5,,"Ótimo. Rápido demais, chega bem antes do prazo",2017-01-24 00:00:00,2017-01-25 17:00:35,2017-01-23 14:38:27,144.5,18.1,63.0,637.0,2.0,2500.0,1,credit_card,10,480.46,tres coracoes,MG,furniture_decor,Furniture,10179.0,38,3,2,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast
101397,brasilia,DF,2018-06-11 14:35:12,2018-06-12 10:21:28,2018-06-14 14:10:00,2018-06-18 17:03:51,2018-07-04,5,Vale muito a pena,Ótimo!,2018-06-19 00:00:00,2018-06-22 03:09:59,2018-06-18 10:21:28,39.99,15.38,47.0,564.0,1.0,5025.0,1,credit_card,8,110.74,sao paulo,SP,pet_shop,Home & Garden,33000.0,22,7,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
42446,belo horizonte,MG,2018-06-24 20:35:29,2018-06-24 20:54:55,2018-06-27 11:45:00,2018-07-03 08:04:09,2018-07-24,3,,,2018-07-03 00:00:00,2018-07-05 15:01:21,2018-06-28 20:54:55,149.0,41.33,53.0,597.0,1.0,6550.0,1,credit_card,8,190.33,brusque,SC,bed_bath_table,Furniture,27000.0,29,8,5,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast
3755,varginha,MG,2018-06-08 20:45:36,2018-06-08 21:15:17,2018-06-12 14:58:00,2018-06-19 22:03:22,2018-07-03,1,Recebi apenas 1,Comprei 2 e recebi apenas 1 unidade do produto. Não veio nenhum comunicado ou justificativa. Aguardo regularização da situação.,2018-06-20 00:00:00,2018-06-21 15:37:26,2018-06-12 21:15:17,98.0,23.27,50.0,635.0,1.0,1200.0,1,credit_card,5,242.54,sao paulo,SP,furniture_decor,Furniture,20700.0,24,11,7,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast
109198,gramado,RS,2017-03-02 15:29:21,2017-03-02 15:45:17,2017-03-03 09:07:14,2017-03-15 10:15:32,2017-03-27,5,,,2017-03-16 00:00:00,2017-03-17 13:01:25,2017-03-08 15:45:17,59.9,22.71,49.0,489.0,2.0,16250.0,1,credit_card,1,82.61,santa barbara d´oeste,SP,luggage_accessories,Home & Garden,37206.0,24,12,12,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
63015,maracanau,CE,2018-03-03 20:24:24,2018-03-03 20:35:31,2018-03-06 00:18:31,2018-04-09 18:31:53,2018-03-29,1,,"O PRAZO DE ENTREGA ESTAVA PARA O DIA 29/03 E ATÉ O MOMENTO NÃO RECEBI O PRODUTO, ESTOU MUITO INSATISFEITO.",2018-03-31 00:00:00,2018-04-02 13:31:33,2018-03-08 20:35:31,154.08,27.62,58.0,1107.0,2.0,817.0,1,credit_card,2,181.7,riberao preto,SP,consoles_games,Electronics,12100.0,25,36,34,OnTime/Early,Late,Slow,Slow,Slow
38102,franca,SP,2017-10-22 14:40:39,2017-10-22 14:56:07,2017-10-24 11:18:45,2017-10-27 16:12:55,2017-11-09,2,,"Comprei três colchas no mesmo pedido, chegou apenas uma. Não tem um canal de apoio ao cliente adequado.",2017-10-28 00:00:00,2017-10-29 19:42:58,2017-10-26 14:56:07,44.9,7.18,29.0,200.0,1.0,600.0,1,credit_card,8,163.69,ibitinga,SP,bed_bath_table,Furniture,6000.0,17,5,3,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
112201,campina grande,PB,2017-12-06 19:26:02,2017-12-06 19:33:19,2017-12-11 22:55:03,2018-01-10 20:45:23,2018-01-11,3,,poderia ter chegado em menos dias.,2018-01-11 00:00:00,2018-01-15 11:00:50,2017-12-12 19:33:19,599.0,58.63,55.0,1131.0,1.0,12050.0,1,credit_card,3,657.63,lauro de freitas,BA,computers,Electronics,71550.0,35,35,29,OnTime/Early,OnTime/Early,Slow,Slow,Slow
15486,itanhaem,SP,2018-01-04 09:48:56,2018-01-04 10:08:29,2018-01-09 22:25:34,2018-01-24 19:45:45,2018-01-29,5,,,2018-01-25 00:00:00,2018-01-25 23:24:15,2018-01-10 10:08:29,119.8,18.73,57.0,1307.0,1.0,4350.0,1,credit_card,2,138.53,jau,SP,sports_leisure,Entertainment,8000.0,24,20,14,OnTime/Early,OnTime/Early,Neutral,Neutral,Fast
108107,brumadinho,MG,2018-05-06 21:32:02,2018-05-08 19:35:09,2018-05-09 11:43:00,2018-05-14 20:12:35,2018-06-05,5,,,2018-05-15 00:00:00,2018-05-23 11:34:43,2018-05-14 19:31:44,89.9,17.34,30.0,219.0,1.0,1870.0,1,credit_card,3,107.24,curitiba,PR,fashion_bags_accessories,Fashion,15660.0,29,7,5,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast
102101,santana de parnaiba,SP,2018-06-29 10:35:54,2018-06-30 02:35:13,2018-07-02 12:33:00,2018-07-06 16:32:39,2018-07-23,4,,,2018-07-07 00:00:00,2018-07-10 10:49:26,2018-07-05 02:35:13,179.17,19.55,39.0,770.0,1.0,3875.0,1,boleto,1,397.44,buritama,SP,pet_shop,Home & Garden,35937.0,23,7,4,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
53400,santos,SP,2017-06-19 23:00:24,2017-06-19 23:10:19,2017-06-22 15:43:24,2017-07-04 13:59:52,2017-07-13,4,,,2017-07-05 00:00:00,2017-07-08 20:34:19,2017-06-27 23:10:19,29.9,16.11,59.0,260.0,2.0,300.0,1,credit_card,1,46.01,uberaba,MG,cool_stuff,Fashion,1547.0,23,14,11,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
9972,cotia,SP,2017-11-09 23:25:11,2017-11-09 23:36:05,2017-11-17 19:48:51,2017-11-20 14:56:48,2017-11-24,5,,,2017-11-21 00:00:00,2017-11-23 14:32:44,2017-11-19 23:35:35,37.9,13.08,59.0,589.0,1.0,6150.0,1,credit_card,1,50.98,guarulhos,SP,furniture_decor,Furniture,31008.0,14,10,2,OnTime/Early,OnTime/Early,Fast,Fast,Very Fast
64683,sao paulo,SP,2017-08-29 16:35:47,2017-08-29 16:47:41,2017-08-30 18:46:40,2017-08-31 15:03:07,2017-09-11,5,,,2017-09-01 00:00:00,2017-09-02 01:19:39,2017-09-04 16:47:41,69.0,7.78,60.0,394.0,6.0,250.0,1,credit_card,2,123.56,sao paulo,SP,watches_gifts,Electronics,352.0,12,1,0,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
46409,barueri,SP,2017-09-20 15:00:42,2017-09-20 15:10:32,2017-09-21 18:03:32,2017-09-22 12:43:21,2017-09-29,5,,,2017-09-23 00:00:00,2017-09-25 18:42:03,2017-09-26 15:10:32,44.9,7.78,45.0,589.0,4.0,200.0,1,credit_card,1,52.68,sao paulo,SP,toys,Entertainment,1232.0,8,1,0,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
37653,tupa,SP,2017-07-25 10:52:22,2017-07-25 11:05:08,2017-07-26 11:28:02,2017-07-28 19:12:20,2017-08-14,5,,"Ótima Loja, muito rápida, produto chegou em 3 dias úteis, recomendo muito",2017-07-29 00:00:00,2017-07-30 04:32:50,2017-07-31 11:05:08,253.52,46.24,60.0,870.0,1.0,17800.0,2,voucher,1,100.0,ibitinga,SP,bed_bath_table,Furniture,116000.0,19,3,2,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
9991,rio de janeiro,RJ,2016-10-09 22:42:35,2016-10-10 11:02:43,2016-10-27 17:11:35,2016-11-01 18:04:41,2016-12-02,5,,Produto conforme a descrição,2016-11-02 00:00:00,2016-11-07 12:17:00,2016-10-21 16:22:45,39.99,15.63,59.0,299.0,1.0,700.0,1,voucher,1,43.43,santa maria da serra,SP,furniture_decor,Furniture,5184.0,53,22,5,Late,OnTime/Early,Very Slow,Neutral,Very Fast
1542,santo andre,SP,2018-07-19 19:09:05,2018-07-19 19:23:12,2018-07-23 14:11:00,2018-07-24 21:12:48,2018-08-01,5,,,2018-07-25 00:00:00,2018-07-26 14:03:06,2018-07-26 19:23:12,299.9,33.89,46.0,1775.0,1.0,6500.0,1,credit_card,1,333.79,mogi guacu,SP,office_furniture,Furniture,94192.0,12,5,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
69568,americana,SP,2017-10-01 12:14:15,2017-10-01 12:24:10,2017-10-02 18:13:44,2017-10-12 17:22:51,2017-10-30,3,,,2017-10-13 00:00:00,2017-10-15 13:44:20,2017-10-05 12:24:10,529.0,17.45,55.0,1604.0,2.0,220.0,1,credit_card,10,546.45,colombo,PR,watches_gifts,Electronics,2112.0,28,11,9,OnTime/Early,OnTime/Early,Slow,Fast,Fast
8590,sertaozinho,SP,2018-01-16 13:15:36,2018-01-16 13:30:15,2018-01-16 21:22:33,2018-01-19 19:08:55,2018-02-06,1,,"olá bom dia!!! realizei uma compra pelo site das lojas lannister, comprei 2 jogos de capas de almofadas, todavia recebi apenas um desses produtos, como deve proceder???? aguardo contato",2018-01-20 00:00:00,2018-01-22 09:59:22,2018-01-22 13:30:15,49.9,14.33,57.0,780.0,3.0,400.0,1,credit_card,1,4.13,santa barbara d'oeste,SP,furniture_decor,Furniture,3750.0,20,3,2,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
53273,sao carlos,SP,2017-06-13 13:00:05,2017-06-13 13:15:16,2017-06-13 14:28:29,2017-06-19 19:11:55,2017-07-06,3,,"Lâmpada com iluminação correspondente a mais ou menos uma lâmpada de 50W e qualidade do som razoável.Ponto muito negativo-controle remoto não funcionou,precisei por bateria nova e mesmo assim falha",2017-06-21 00:00:00,2017-06-23 12:19:46,2017-06-19 13:15:16,139.9,15.73,31.0,1194.0,3.0,10225.0,1,credit_card,6,155.63,santa rita do sapucai,MG,cool_stuff,Fashion,2299.0,22,6,6,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
85336,salvador,BA,2017-12-10 23:08:20,2017-12-10 23:19:21,2017-12-12 19:14:02,2018-01-27 14:06:26,2018-01-10,1,,Até o momento a empresa não entregou o nosso produto. Está muito atrasado e compromete os objetivos do cliente com a espera do produto.,2018-01-12 00:00:00,2018-01-12 12:48:54,2017-12-14 23:19:21,59.0,19.65,58.0,340.0,2.0,1500.0,1,credit_card,4,78.65,sao jose do rio preto,SP,garden_tools,Furniture,19800.0,30,47,45,OnTime/Early,Late,Slow,Very Slow,Very Slow
80670,parnaiba,PI,2017-05-02 20:05:26,2017-05-03 15:10:26,2017-05-03 15:58:25,2017-05-15 11:36:20,2017-06-07,5,,"Não consegui rastrear o produto pelo link dos correios. Mas chegou no prazo, tudo ok",2017-05-16 00:00:00,2017-05-17 01:09:41,2017-05-10 15:10:26,139.9,25.47,55.0,226.0,1.0,500.0,1,credit_card,7,165.37,campinas,SP,perfumery,Beauty & Health,2760.0,35,12,11,OnTime/Early,OnTime/Early,Slow,Fast,Fast
77153,curitiba,PR,2017-09-10 21:27:03,2017-09-10 21:43:44,2017-09-11 23:03:42,2017-09-20 16:07:18,2017-09-28,5,,Ótimo produto e chegou rápido ,2017-09-21 00:00:00,2017-09-24 00:15:43,2017-09-14 21:43:44,189.99,16.09,53.0,3734.0,5.0,538.0,1,credit_card,2,206.08,sao paulo,SP,health_beauty,Beauty & Health,9384.0,17,9,8,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
99476,mogi das cruzes,SP,2018-02-14 19:11:25,2018-02-14 19:28:15,2018-02-22 20:52:59,2018-02-24 00:18:51,2018-03-01,3,,,2018-02-25 00:00:00,2018-02-27 10:15:52,2018-02-20 18:28:15,12.9,7.78,40.0,427.0,1.0,150.0,1,credit_card,3,62.04,sao paulo,SP,electronics,Electronics,2800.0,14,9,1,Late,OnTime/Early,Fast,Fast,Very Fast
89989,itai,SP,2018-04-26 22:31:45,2018-04-26 22:51:16,2018-04-27 10:15:00,2018-05-05 17:03:35,2018-05-16,5,Muito boa,Recomendo e se precisar voltarei à comprar.,2018-05-06 00:00:00,2018-05-06 21:46:45,2018-05-03 22:51:16,39.99,8.95,46.0,708.0,3.0,317.0,1,credit_card,1,97.88,sao paulo,SP,stationery,Books & Stationery,6776.0,19,8,8,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
16390,rio de janeiro,RJ,2017-10-08 19:00:45,2017-10-08 19:28:31,2017-10-09 16:06:26,2017-10-16 21:19:52,2017-10-31,5,,,2017-10-17 00:00:00,2017-10-17 23:57:34,2017-10-13 19:28:31,340.0,23.22,53.0,985.0,2.0,3200.0,1,credit_card,5,363.22,itatiba,SP,sports_leisure,Entertainment,21760.0,22,8,7,OnTime/Early,OnTime/Early,Neutral,Fast,Very Fast
62080,salgueiro,PE,2017-10-08 10:47:34,2017-10-08 10:56:14,2017-10-17 21:13:58,2017-10-27 19:27:39,2017-11-13,4,,,2017-10-28 00:00:00,2017-10-29 10:36:55,2017-10-13 10:56:14,34.99,26.89,59.0,153.0,2.0,300.0,1,credit_card,2,61.88,limeira,SP,musical_instruments,Electronics,1600.0,35,19,9,Late,OnTime/Early,Slow,Neutral,Fast
24500,sao paulo,SP,2018-04-07 17:52:04,2018-04-07 18:08:18,2018-04-09 20:17:56,2018-04-10 21:19:16,2018-04-19,4,,,2018-04-11 00:00:00,2018-04-12 01:05:48,2018-04-12 18:08:18,48.9,9.26,55.0,1627.0,1.0,750.0,1,credit_card,1,58.16,limeira,SP,baby,Fashion,3380.0,11,3,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
38862,pojuca,BA,2018-07-03 11:14:42,2018-07-05 16:25:46,2018-07-03 14:38:00,2018-07-11 22:26:43,2018-08-03,4,,"Cortinas muita boa, e bonita ",2018-07-12 00:00:00,2018-07-13 10:18:09,2018-07-09 11:31:25,62.0,29.54,44.0,452.0,1.0,1550.0,1,credit_card,8,240.08,ibitinga,SP,bed_bath_table,Furniture,15750.0,30,8,8,OnTime/Early,OnTime/Early,Slow,Fast,Fast
111112,barreiras,BA,2017-09-07 21:32:35,2017-09-07 21:44:00,2017-09-12 18:27:56,2017-09-22 16:05:05,2017-10-03,5,,Super indico! Espremedor potente e lindo!,2017-09-23 00:00:00,2017-09-27 01:44:33,2017-09-13 21:44:00,419.8,45.31,54.0,1275.0,3.0,8150.0,1,credit_card,10,465.11,assis,SP,home_appliances_2,Home & Garden,37180.0,25,14,9,OnTime/Early,OnTime/Early,Slow,Fast,Fast
9229,sumare,SP,2018-02-15 19:50:28,2018-02-16 07:50:33,2018-02-22 21:04:46,2018-03-07 19:04:22,2018-03-02,1,,gostaria de receber meu dinheiro de volta,2018-03-07 00:00:00,2018-03-07 10:16:50,2018-02-22 06:50:33,33.0,8.72,55.0,900.0,2.0,450.0,1,boleto,1,41.72,sao paulo,SP,furniture_decor,Furniture,32000.0,14,19,12,Late,Late,Fast,Neutral,Fast
93315,sao paulo,SP,2018-07-07 14:02:43,2018-07-10 08:45:18,2018-07-10 17:39:00,2018-07-12 17:04:27,2018-07-19,1,Um lixo,"O produto veio errado, não tem nada a ver com a descrição. Estou completamente insatisfeito, quero meu dinheiro de volta. Não recomendo esse produto, a película além de ser de uma cor feia, é inútil.",2018-07-13 00:00:00,2018-07-15 20:43:44,2018-07-12 08:45:18,24.99,7.44,58.0,667.0,3.0,350.0,1,boleto,1,32.43,sao paulo,SP,telephony,Electronics,816.0,11,5,1,OnTime/Early,OnTime/Early,Fast,Very Fast,Very Fast
34422,jaboatao dos guararapes,PE,2017-08-07 21:11:12,2017-08-07 22:04:14,2017-08-11 15:58:55,2017-08-17 19:08:00,2017-09-18,2,,"O anúncio diz que o produto tem 6cm de altura, e as cerdas tem 4cm. Mas não é verdade. O que recebi tem menos de 4cm de altura.",2017-08-18 00:00:00,2017-08-19 00:25:15,2017-08-13 22:04:14,229.0,26.05,57.0,217.0,3.0,1900.0,1,credit_card,10,255.05,osasco,SP,home_confort,Home & Garden,24000.0,41,9,6,OnTime/Early,OnTime/Early,Very Slow,Fast,Very Fast
105950,rio casca,MG,2018-03-22 21:10:17,2018-03-22 21:27:54,2018-03-27 00:36:42,2018-04-02 20:08:31,2018-04-27,5,,,2018-04-03 00:00:00,2018-04-03 23:34:11,2018-03-28 21:27:54,20.9,18.23,47.0,68.0,1.0,100.0,1,credit_card,1,39.13,praia grande,SP,home_appliances,Home & Garden,3900.0,35,10,6,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast
98194,rio de janeiro,RJ,2018-05-02 13:05:22,2018-05-03 09:55:49,2018-05-04 15:01:00,2018-05-14 17:08:21,2018-06-11,4,,,2018-05-15 00:00:00,2018-05-16 12:56:40,2018-05-09 09:55:49,18.9,22.06,40.0,672.0,1.0,150.0,1,credit_card,1,40.96,maringa,PR,electronics,Electronics,1632.0,39,12,10,OnTime/Early,OnTime/Early,Slow,Fast,Fast
61359,sao jose do rio pardo,SP,2018-04-08 20:17:55,2018-04-08 20:30:20,2018-04-10 20:51:27,2018-04-12 21:32:00,2018-05-02,5,,Minha encomenda deu um probleminha e com a ajuda do vendedor que fora do horário comercial me ajudou a resolver ,2018-04-13 00:00:00,2018-04-16 22:30:09,2018-04-12 20:30:20,129.9,14.27,59.0,3723.0,1.0,750.0,1,credit_card,2,144.17,sao paulo,SP,computers_accessories,Electronics,1728.0,23,4,2,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
33665,osasco,SP,2018-06-09 12:47:27,2018-06-09 13:11:08,2018-06-14 12:55:00,2018-06-15 20:38:31,2018-06-26,5,,,2018-06-16 00:00:00,2018-06-17 14:14:54,2018-06-15 13:11:08,24.7,8.29,51.0,114.0,1.0,300.0,1,credit_card,2,32.99,sao paulo,SP,housewares,Home & Garden,1925.0,16,6,1,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
10245,belo horizonte,MG,2018-06-25 12:58:18,2018-06-26 10:35:28,2018-06-28 13:47:00,2018-07-03 16:07:15,2018-07-26,5,,,2018-07-03 00:00:00,2018-07-04 17:05:02,2018-07-06 10:35:28,109.9,23.76,58.0,285.0,3.0,6650.0,1,credit_card,1,5.46,uba,MG,furniture_living_room,Furniture,21175.0,30,8,5,OnTime/Early,OnTime/Early,Slow,Fast,Very Fast
42180,londrina,PR,2018-03-31 11:50:10,2018-03-31 12:08:44,2018-04-05 00:14:30,2018-04-13 16:58:53,2018-04-20,5,,,2018-04-14 00:00:00,2018-04-20 15:38:58,2018-04-05 12:08:44,199.0,19.27,32.0,253.0,1.0,4050.0,1,credit_card,8,218.27,ibitinga,SP,bed_bath_table,Furniture,13800.0,19,13,8,OnTime/Early,OnTime/Early,Neutral,Fast,Fast
59448,rio de janeiro,RJ,2018-03-13 21:39:26,2018-03-13 21:50:40,2018-03-16 18:08:28,2018-03-21 17:58:49,2018-04-17,5,,,2018-03-22 00:00:00,2018-03-23 13:17:25,2018-03-21 21:50:40,230.0,19.49,40.0,866.0,1.0,150.0,1,credit_card,3,249.49,jacarei,SP,computers_accessories,Electronics,4096.0,34,7,4,OnTime/Early,OnTime/Early,Slow,Very Fast,Very Fast
73151,olinda,PE,2018-06-05 23:07:48,2018-06-05 23:31:50,2018-06-06 14:23:00,2018-06-15 16:22:27,2018-07-18,4,super legal,"tudo perfeito

",2018-06-16 00:00:00,2018-06-18 11:15:55,2018-06-13 23:31:47,209.9,58.02,37.0,325.0,1.0,792.0,1,credit_card,1,267.92,petropolis,RJ,health_beauty,Beauty & Health,4256.0,42,9,9,OnTime/Early,OnTime/Early,Very Slow,Fast,Fast
2372,sapucaia do sul,RS,2018-04-02 14:44:19,2018-04-02 15:11:19,2018-04-04 02:41:02,2018-05-08 20:12:08,2018-04-25,3,Na espera,Nao recebi o produto ainda o correio ainda nao mr entregou ..estou esperando era pra eu ter recebido dia 24/4.,2018-04-27 00:00:00,2018-04-30 11:19:27,2018-04-06 15:11:19,159.0,27.87,37.0,267.0,1.0,2750.0,1,credit_card,3,186.87,sao paulo,SP,furniture_decor,Furniture,40000.0,22,36,34,OnTime/Early,Late,Neutral,Slow,Slow
83961,porto alegre,RS,2017-08-06 20:53:38,2017-08-06 21:40:05,2017-08-09 20:24:44,2017-08-22 18:37:59,2017-09-08,5,,,2017-08-23 00:00:00,2017-08-27 03:45:35,2017-08-10 21:32:56,59.9,17.67,57.0,366.0,2.0,1650.0,1,credit_card,3,77.57,sao jose do rio preto,SP,garden_tools,Furniture,19800.0,32,15,12,OnTime/Early,OnTime/Early,Slow,Fast,Fast
36072,sao paulo,SP,2018-03-15 12:56:35,2018-03-15 13:10:43,2018-03-15 23:58:22,2018-03-22 20:58:34,2018-04-03,5,,,2018-03-23 00:00:00,2018-03-24 00:23:06,2018-03-21 13:10:43,69.9,13.85,58.0,330.0,1.0,850.0,1,credit_card,10,335.0,ibitinga,SP,bed_bath_table,Furniture,16875.0,18,7,6,OnTime/Early,OnTime/Early,Neutral,Very Fast,Very Fast
73180,belo horizonte,MG,2017-12-11 20:13:18,2017-12-12 10:18:21,2017-12-13 17:53:47,2017-12-29 20:59:43,2018-01-09,5,,"Tudo veio do jeito descrito, produto de ótima qualidade, recomendo vendedor.",2017-12-30 00:00:00,2017-12-31 14:15:59,2017-12-20 10:18:21,159.9,18.37,37.0,325.0,1.0,792.0,1,boleto,1,178.27,petropolis,RJ,health_beauty,Beauty & Health,4256.0,28,18,16,OnTime/Early,OnTime/Early,Slow,Neutral,Neutral
